name;Module1_1_1_1;Module1_1_1_2;Module1_1_1_3_1;Module1_1_1_3_2;Module1_1_2_1;Module1_1_2_2_1;Module1_1_2_2_2;Module1_1_2_3_1_1_1;Module1_1_2_3_1_1_2;Module1_1_2_3_1_1_3;Module1_1_2_3_1_2;Module1_1_2_3_2;Module1_2_1_1_1;Module1_2_1_1_2;Module1_2_1_1_3;Module1_2_1_2;Module1_2_2_1;Module1_2_2_2_1;Module1_2_2_2_2;Module1_2_3_1_1;Module1_2_3_1_2;Module1_2_3_2_1;Module1_2_3_2_2;Module1_2_4;Module1_2_5_1_1;Module1_2_5_1_2;Module1_2_5_2;Module1_2_6;Module1_3_1_1_1_1_1;Module1_3_1_1_1_1_2;Module1_3_1_1_1_1_3;Module1_3_1_1_1_2;Module1_3_1_1_2_1_1;Module1_3_1_1_2_1_2;Module1_3_1_1_2_2;Module1_3_1_2_1_1;Module1_3_1_2_1_2;Module1_3_1_2_2_1;Module1_3_1_2_2_2;Module1_3_2_1_1;Module1_3_2_1_2;Module1_3_2_2;Module1_4_1_1_1_1;Module1_4_1_1_1_2_1;Module1_4_1_1_1_2_2;Module1_4_1_1_2;Module1_4_1_2;Module1_4_2_1_1;Module1_4_2_1_2;Module1_4_2_1_3;Module1_4_2_2_1;Module1_4_2_2_2;Module1_4_3;Module1_5_1;Module1_5_2;Module1_6_1;Module1_6_2;Module1_7_1;Module1_7_2;Module1_7_3;Module1_8
FRP;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5859213250517599;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.024844720496894408;0.2318840579710145;0.0;0.004140786749482402;0.0;0.016563146997929608;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.13457556935817805
GU;0.0;0.0;0.06385404789053592;0.3033067274800456;0.0;0.0;0.0;0.0;0.29418472063854045;0.338654503990878;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ILA;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.05829596412556054;0.0;0.773542600896861;0.0;0.0;0.14573991031390135;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MOp;0.0;0.0;0.0;0.0;0.0;0.0;0.25326970661010956;0.0;0.16613644397313537;0.0;0.04860374690703429;0.0136090491339696;0.0;0.0;0.0;0.0;0.0;0.0;0.0007069635913750442;0.0;0.0;0.02191587133262637;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.14298338635560268;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3527748320961471;0.0;0.0;0.0;0.0;0.0
MOs;0.0;0.0;0.0;0.0;0.0;0.0;0.001528117359413203;0.0;0.0018337408312958435;0.0;0.2998166259168704;0.018948655256723717;0.0;0.0;0.0;0.0;0.0;0.0;0.014669926650366748;0.0;0.0;0.0007640586797066015;0.0;0.0;0.0;0.0;0.0;0.0012224938875305623;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.018643031784841075;0.09627139364303179;0.09031173594132029;0.0;0.0964242053789731;0.0;0.0;0.0;0.0;0.0001528117359413203;0.008710268948655257;0.0;0.0;0.04920537897310513;0.0;0.0;0.0;0.0;0.3014975550122249
ORBl;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.13609467455621302;0.17751479289940827;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.009615384615384616;0.0;0.0;0.3121301775147929;0.22928994082840237;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0007396449704142012
ORBm;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.44005449591280654;0.08719346049046321;0.39373297002724794;0.0;0.0;0.05722070844686648;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0013623978201634877
ORBvl;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.015677491601343786;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5587905935050392;0.05823068309070549;0.03471444568868981;0.3012318029115342;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0033594624860022394
PERI;0.49874686716791977;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.03508771929824561;0.06015037593984962;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3659147869674185;0.005012531328320802;0.0;0.0;0.0;0.0;0.0;0.0
PL;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.03139717425431711;0.044740973312401885;0.0;0.0;0.003924646781789639;0.029042386185243328;0.003924646781789639;0.0;0.0;0.8241758241758241;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.06279434850863422
RSPagl;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.012216404886561954;0.0;0.0;0.3106457242582897;0.010471204188481676;0.07766143106457242;0.07329842931937172;0.10907504363001745;0.027050610820244327;0.031413612565445025;0.0;0.20855148342059338;0.1300174520069808;0.0;0.0;0.0;0.0;0.006980802792321117;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.002617801047120419;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RSPd;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1992696922274387;0.0;0.004694835680751174;0.107981220657277;0.14188836724047993;0.22326551904016692;0.06311945748565467;0.0;0.0;0.0;0.0;0.16327595200834638;0.07355242566510173;0.0;0.0;0.011476264997391758;0.0;0.0010432968179447052;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0036515388628064684;0.0;0.0;0.0;0.0;0.0;0.0;0.0010432968179447052;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RSPv;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.23337795626952254;0.0821062025881303;0.14457831325301204;0.0;0.13833110218652386;0.19678714859437751;0.0049085229808121375;0.0;0.0;0.0;0.0;0.08032128514056225;0.0;0.0;0.0;0.08835341365461848;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
